SampleID,Tree,Forest,Plot,Subplot,Wood_log_ID,Time,Species,Position,control,SampleType,Updown_pooling_18mo,Openmature_pooling,Updown_pooling_18mo_36mo,Procrustes_down,Tag_nb,Installment_date,Water_cont_ini,WSG_ini,Coll_No,Coll_date,Water_cont_later,WSG_later,Remarks,db,dm,dt,L,volume,W_density,Log_mass_ini,Log_Bark_Dry_weight_g,Log_No_Bark_Dry_weight_g,Log_mass_final,ML,ML_percent,t,incubation_time,Bark_thickness_T1,Bark_thickness_T2,Bark_thickness_T3,Bark_thickness_T4,Per_WSG_loss,Termi.assum,W_Carb,W_Nitro,W_Phosp,W_Pota,W_Lignin,W_Cellu,W_Hemicellu,W_Sugar,W_Fiber_content,W_Carb_Nitro_ratio,W_Lignin_Nitro_ratio,W_Lignin_Carb_ratio,B_Carb,B_Nitro,B_Phosp,B_Pota,B_Lignin,B_Cellu,B_Hemicellu,B_Sugar,B_Tannin,B_Carb_Nitro_ratio,B_Lignin_Nitro_ratio,B_Lignin_Carb_ratio
MD446,3,Mature_forest,365,5,7123,36mo,Litsea_cubeba,up,No,Down,,,Yes,,7123,29/10/2011,0.667748817,0.390276571,Coll_6,16/12/2014,5.211857143,0.115321252,,10.1,9.9,10.1,50.6,3948.018456,0.352562216,1391.922135,108.04,1050.7,1160.06,231.8621353,16.65769438,1144,36mo,3.42,3.52,3.52,3.25,70.4514028,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD478,3,Open_land,382,7,7120,36mo,Litsea_cubeba,down,No,Down,,,,Yes,7120,27/10/2011,0.667748817,0.390276571,Coll_6,16/12/2014,1.481351351,0.241830065,,11.8,11.8,11.5,50.4,5465.570714,0.352562216,1926.953722,43.19,458.63,503.59,1423.363722,73.86600445,1146,36mo,3.78,3.54,3.54,3.54,38.036233,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
54,3,Mature_forest,365,5,7123,12mo,Litsea_cubeba,down,No,PilotSample,Yes,,Yes,,7123,29/10/2011,0.667748817,0.390276571,Coll_3,25/12/2012,1.947368421,0.30866426,,10.1,9.9,10.1,50.6,3948.018456,0.352562216,1391.922135,108.04,1050.7,1160.06,231.8621353,16.65769438,423,12mo,3.42,3.52,3.52,3.25,20.9114041,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD445,3,Mature_forest,365,1,7122,36mo,Litsea_cubeba,down,No,Down,,,,Yes,7122,29/10/2011,0.667748817,0.390276571,Coll_6,16/12/2014,5.905384615,0.144981413,,11,10.8,10.7,50.4,4631.666268,0.352562216,1632.950523,51.78,679.66,733,899.9505228,55.11192839,1144,36mo,3.68,4.27,3.28,2.88,62.8516227,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
M335,3,Mature_forest,365,5,7123,18mo,Litsea_cubeba,down,No,UpDown,Yes,,Yes,,7123,29/10/2011,0.667748817,0.390276571,Coll_4,22/06/2013,1.7,0.309090909,,10.1,9.9,10.1,50.6,3948.018456,0.352562216,1391.922135,108.04,1050.7,1160.06,231.8621353,16.65769438,602,18mo,3.42,3.52,3.52,3.25,20.8020845,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
109,3,Mature_forest,365,5,7123,36mo,Litsea_cubeba,down,No,PilotSample,Yes,,Yes,,7123,29/10/2011,0.667748817,0.390276571,Coll_6,16/12/2014,1.566933333,0.245098039,,10.1,9.9,10.1,50.6,3948.018456,0.352562216,1391.922135,108.04,1050.7,1160.06,231.8621353,16.65769438,1144,36mo,3.42,3.52,3.52,3.25,37.1988848,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD233,3,Open_land,382,3,7126,18mo,Litsea_cubeba,down,No,Down,,,,Yes,7126,27/10/2011,0.667748817,0.390276571,Coll_4,21/06/2013,1.057142857,0.234899329,,9.4,8.9,8.4,51.4,3201.029845,0.352562216,1128.562175,0,98.27,99.88,1028.682175,91.14980085,603,18mo,3.53,3.17,3.35,3.35,39.8120855,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
60,3,Open_land,382,5,7121,12mo,Litsea_cubeba,down,No,PilotSample,Yes,,Yes,,7121,27/10/2011,0.667748817,0.390276571,Coll_3,25/12/2012,0.794871795,0.312,,10.1,11,10.7,51,4676.45753,0.352562216,1648.742229,0,198.24,198.24,1450.502229,87.97628905,425,12mo,3.4,2.4,3.69,3.44,20.0566923,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD449,3,Mature_forest,365,7,7119,36mo,Litsea_cubeba,down,No,Down,,,,Yes,7119,29/10/2011,0.667748817,0.390276571,Coll_6,16/12/2014,3.145,0.193103448,,12.3,12,11.8,50.8,5762.169033,0.352562216,2031.523083,58.41,805.72,864.99,1166.533083,57.4216012,1144,36mo,3.18,3.18,2.8,3.15,50.5213835,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD234,3,Open_land,382,7,7120,18mo,Litsea_cubeba,down,No,Down,,,,Yes,7120,27/10/2011,0.667748817,0.390276571,Coll_4,21/06/2013,0.357664234,0.254174397,,11.8,11.8,11.5,50.4,5465.570714,0.352562216,1926.953722,43.19,458.63,503.59,1423.363722,73.86600445,603,18mo,3.78,3.54,3.54,3.54,34.8732627,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD203,3,Mature_forest,365,3,7124,18mo,Litsea_cubeba,down,No,Down,,,,Yes,7124,29/10/2011,0.667748817,0.390276571,Coll_4,22/06/2013,0.740740741,0.252336449,,9.3,9,9.2,51,3305.431002,0.352562216,1165.370079,66.25,320.11,387.59,777.7800786,66.74103726,602,18mo,3.39,3.35,3.2,3.95,35.3441975,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
