SampleID,Chao1,se.chao1,Shannon,Chao1_strict_sqrt,Tree,Forest,Plot,Subplot,Wood_log_ID,Time,Species,Position,Tag_nb,Installment_date,Water_cont_ini,WSG_ini,Coll_No,Coll_date,Water_cont_later,WSG_later,Remarks,W_density,Per_WSG_loss,Termi.assum,Blue_Staining,Brown_Rot,Hypogeous,Poisonous,Soft_Rot,Soft_Rot.fungus_Seehann_et_al_1975.,White_Rot,Unassigned,Pathogen.Saprotroph.Symbiotroph,Pathotroph,Pathotroph.Saprotroph,Pathotroph.Saprotroph.Symbiotroph,Pathotroph.Symbiotroph,Saprotroph,Saprotroph.Pathotroph.Symbiotroph,Saprotroph.Symbiotroph,Symbiotroph
MD16,121.1,6.484326902,2.74779328,11.00454452,F,Regenerating_forest,49,1,7243,18mo,Castanopsis_mekongensis,down,7243,07/11/2011,0.913826545,0.753916858,Coll_4,03/06/2013,0.492248062,0.643391521,,0.629019608,14.6601493,0,0,0,0,0,82,0,17,3563,0,32,17,719,699,6622,0,21,72
MD160,208.0555556,7.768468221,1.56025274,14.42413102,C,Regenerating_forest,234,7,7225,18mo,Castanopsis_mekongensis,down,7225,13/11/2011,0.751553444,0.746104098,Coll_4,28/05/2013,0.385185185,0.567226891,,0.647518258,23.9748325,0,0,0,0,0,62,0,24,16523,0,282,40,512,42,2603,0,101,27
MD162,632.96875,37.42196846,2.86455787,25.15887021,4,Mature_forest,240,3,7132,18mo,Litsea_cubeba,down,7132,26/10/2011,0.542524377,0.442314604,Coll_4,05/06/2013,0.336065574,0.313624679,,0.491523919,29.0946588,1,0,0,0,0,420,0,69,15315,0,8800,695,289,326,7423,0,13,174
MD163,363.3636364,32.99529813,2.03675175,19.06209947,4,Mature_forest,240,1,7129,18mo,Litsea_cubeba,down,7129,26/10/2011,0.542524377,0.442314604,Coll_4,05/06/2013,0.278688525,0.401315789,,0.491523919,9.2691525,0,0,0,0,0,62,0,6,1612,0,33,85,4094,45,22189,0,621,532
MD164,194.1818182,8.586639777,2.055834405,13.93491364,4,Mature_forest,240,9,7130,18mo,Litsea_cubeba,down,7130,26/10/2011,0.542524377,0.442314604,Coll_4,05/06/2013,0.231343284,0.326829268,,0.491523919,26.1093201,0,0,0,0,0,8341,0,8,3450,8310,166,584,25,1147,1448,0,9,28
MD165,364.1071429,18.38974058,2.95925533,19.08159173,4,Mature_forest,240,7,7131,18mo,Litsea_cubeba,down,7131,26/10/2011,0.542524377,0.442314604,Coll_4,05/06/2013,0.275862069,0.331428571,,0.491523919,25.069494,0,121,0,0,0,247,0,724,8631,0,8138,667,310,705,17007,0,28,99
MD167,245.0322581,7.896481362,3.355350503,15.65350625,R,Mature_forest,240,9,7424,18mo,Castanopsis_mekongensis,down,7424,26/10/2011,0.8977718,0.750383991,Coll_4,05/06/2013,0.262295082,0.462121212,,0.620811095,38.415369,0,5664,0,5,0,215,0,0,3834,0,5839,182,499,534,5071,0,225,252
MD168,623.1587302,36.03425744,3.810065883,24.96314744,R,Mature_forest,240,3,7423,18mo,Castanopsis_mekongensis,down,7423,26/10/2011,0.8977718,0.750383991,Coll_4,05/06/2013,0.297520661,0.423076923,,0.620811095,43.6186102,0,545,0,0,0,225,0,26,14288,1,1100,156,2347,4220,9020,0,1316,118
MD169,270.3913043,12.01429664,2.68662687,16.44357943,R,Mature_forest,240,1,7422,18mo,Castanopsis_mekongensis,down,7422,26/10/2011,0.8977718,0.750383991,Coll_4,05/06/2013,0.254143646,0.537091988,,0.620811095,28.4243808,1,89,0,0,0,48,0,32,12015,0,303,34,685,34,10114,0,370,207
MD170,477.9117647,17.09800799,3.703822416,21.86119312,R,Mature_forest,240,7,7426,18mo,Castanopsis_mekongensis,down,7426,26/10/2011,0.8977718,0.750383991,Coll_4,05/06/2013,0.252747253,0.505555556,,0.620811095,32.6270867,0,141,0,13,0,41,0,152,5370,10,1043,434,821,108,4606,0,3413,245
